,uuid,account_amount_added_12_24m,account_days_in_dc_12_24m,account_days_in_rem_12_24m,account_days_in_term_12_24m,account_incoming_debt_vs_paid_0_24m,account_status,account_worst_status_0_3m,account_worst_status_12_24m,account_worst_status_3_6m,account_worst_status_6_12m,age,avg_payment_span_0_12m,avg_payment_span_0_3m,merchant_category,merchant_group,has_paid,max_paid_inv_0_12m,max_paid_inv_0_24m,name_in_email,num_active_div_by_paid_inv_0_12m,num_active_inv,num_arch_dc_0_12m,num_arch_dc_12_24m,num_arch_ok_0_12m,num_arch_ok_12_24m,num_arch_rem_0_12m,num_arch_written_off_0_12m,num_arch_written_off_12_24m,num_unpaid_bills,status_last_archived_0_24m,status_2nd_last_archived_0_24m,status_3rd_last_archived_0_24m,status_max_archived_0_6_months,status_max_archived_0_12_months,status_max_archived_0_24_months,recovery_debt,sum_capital_paid_account_0_12m,sum_capital_paid_account_12_24m,sum_paid_inv_0_12m,time_hours,worst_status_active_inv
1,f6f6d9f3-ef2b-4329-a388-c6a687f27e70,0,0.0,0.0,0.0,,,,,,,64,,,Personal care & Body improvement,Health & Beauty,False,0.0,0.0,L1+F,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.236666666666667,
4,bb89b735-72fe-42a4-ba06-d63be0f4ca36,0,0.0,0.0,0.0,0.0,1.0,2.0,,2.0,2.0,30,,,Diversified electronics,Electronics,True,0.0,0.0,F1+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,14295,0,0,8.45111111111111,
5,e4eede99-76a3-4437-a540-3059a1eff67c,0,0.0,0.0,0.0,,,,,,,22,,,Youthful Shoes & Clothing,Clothing & Shoes,True,6055.0,6055.0,F,0.0,0,0,0,0,2,0,0.0,0.0,0,1,1,0,0,0,1,0,0,0,6055,22.2630555555556,
10,0d08fe69-ca57-433d-a6db-83970f6d11d8,0,,,,,,,,,,46,11.375,11.3333333333333,Youthful Shoes & Clothing,Clothing & Shoes,True,16790.0,16790.0,no_match,0.25,2,0,0,8,7,0,0.0,0.0,2,1,1,1,1,1,1,0,0,0,91572,22.8816666666667,1.0
12,7d7c6bed-ce10-45c3-8ef4-55e84ae7f9d9,8002,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,22,,,Diversified entertainment,Entertainment,True,13885.0,13885.0,F,,1,0,0,0,1,0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,20080,13.6036111111111,1.0
19,42df7daa-098c-49f6-b39b-96873d44fbc5,0,0.0,0.0,0.0,,,,,,,33,,,Diversified electronics,Electronics,True,0.0,0.0,F+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,12.3711111111111,
23,65018d72-260a-4fe0-8149-11b4bb374114,0,,,,,,,,,,49,16.0,,General Shoes & Clothing,Clothing & Shoes,True,11325.0,11325.0,no_match,0.0,0,0,0,3,0,0,0.0,0.0,0,1,1,1,0,1,1,0,0,0,16095,9.95333333333333,
29,163735a0-ff17-488e-a523-96b0635189b0,0,0.0,0.0,0.0,,,,,,,22,,,Body & Hair Care,Health & Beauty,True,0.0,10900.0,F+L,,0,0,0,0,1,0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,16.3713888888889,
31,896de916-7f49-4fba-bf88-b5be8cd52a6b,0,,,,,,,,,,27,,,Tobacco,Food & Beverage,True,0.0,0.0,F+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,16.6069444444444,
38,0bb20f78-340d-444b-83e4-e945f8514093,0,,,,,,,,,,21,11.0,,Dietary supplements,Health & Beauty,True,10978.0,10978.0,F,0.0,0,0,0,2,0,0,0.0,0.0,0,1,1,0,1,1,1,0,0,0,14428,11.7483333333333,
